District,Attorney Name,Law Firm,Website,Phone Number,City
District 12,Keith Altman,"The Law Office of Keith Altman, PLLC",,,Bronx
District 12,,Skyer Law,https://skyerlaw.com/,,New York City
District 12,,"Guercio & Guercio, LLP",,,Bronx
District 13,Keith Altman,"The Law Office of Keith Altman, PLLC",unavailable,unavailable,Brooklyn
District 13,Gerry McMahon,"The Law Offices of Gerry McMahon, LLC",unavailable,unavailable,Brooklyn
District 13,Adam Dayan,Law Offices of Adam Dayan,unavailable,(646) 866-7157,New York
District 14,Adam Dayan,Law Offices of Adam Dayan,https://www.adamdayan.com/,,New York City
District 14,Susan Deedy,Law Offices of Susan J. Deedy & Associates,https://www.susan-deedy.com/,516-221-8133,New York City
District 14,Jennifer Ratcliff,"Ratcliff Law, PLLC",https://www.ratclifflaw.com/,,New York City
District 14,Lloyd Donders,The Law Offices of Lloyd Donders,https://www.donderslaw.com/,,New York City
District 14,,Skyer Law,https://skyerlaw.com/,,New York City
District 15,Gina DeCrescenzo,"Gina DeCrescenzo, P.C.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHrj4TsI8nJxSYY0tERwMa28XwROhk6-m5C58ip9Yb2siRYc2DmmU8Pc2Wjdhq4uujQj-6w39ipjiM69mHMNWu6ZOC48GgCFX0X03RKwPZs2eiMtg0TJ1C8JSk=,,New York City
District 15,Jennifer Ratcliff,"Ratcliff Law, PLLC",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEqaA2bvtI4Vw5ls50Dgrxpwf3d5aoShM7_fk0PlSeIcs10TnnL9s0OMGDmn820JvWFvKCq3QtiLT3t_1XO4r1hniH0q0znnkAMlgi-cGOTr8P1D3RN71I=,,New York
District 15,Susan J. Deedy,The Law Offices of Susan J. Deedy & Associates,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFYDOtWN5HWYwUD5QwPgJSwXR-RaqGX0giNq0hfa0EIJZMJnuyqWF5FjhftkjlJoiNy_3P1Y7hKIroLHO_6gQBPLNhr6VAclvG-OeSvlmYpnrVY5b4NgAZjiA==,(516) 221-8133,New York
District 15,Lloyd Donders,The Law Offices of Lloyd Donders,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFgbnZud7-ae1GmmBCqRjc79KQkktynLwmXz4VmjTXOYIAFl7I-zNDjU9lbtW1oguk5tfppAgAmXNLvruLOK3iPhZ4DsYuKn6HS7eJV8lc-R5Ed9iErSGcnJQY=,,New York City
District 15,,Skyer Law,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFyFZB0_oUnQLNCI7cY5xRnp-0hLEavegiLqfzweUT9bjc6IQVfrps-Jxu3I0i2pomTCp50qaSLGHNTHVSzdw8e-YjfAjW_-Fm_E84iX99XVwgQbQo=,,NYC
District 16,Skyer Law,Skyer Law,https://skyerlaw.com/,,NYC
District 16,Susan Luger,Susan Luger Associates,,,NYC
District 16,Susan Deedy,Law Offices of Susan Deedy,,516-221-8133,NYC
District 16,,"Kule-Korgood & Associates, P.C.",,718-261-0181,Forest Hills
District 16,,Cuddy Law Firm,,,New York
District 17,Skyer Law,Skyer Law,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGYqwaSEXGCQtVKi3VtN5rJBeMRrq_pGRsB64GgV-SRQrg0fQZOmg38iTMGVfSndosV6cWOGLCfWRvcV-kuGGBNiy8_bqsKJaRDvZ4OKIMEF7ZkLjE=,,NYC
District 17,Susan Deedy,Law Offices of Susan J. Deedy & Associates,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHYbbr7k0UFgm4TUfA17Y8dYqhwcr59mO72UqHei95hWhe5G1nDJx9o_PhxCMdxZ350wabhaaHTuCTVt-7Ht9xs0pAIWrVFvOYPTCvrwTGDpFESIBHf8o1WAQ==,516-221-8133,NYC
District 17,Lloyd Donders,The Law Offices of Lloyd Donders,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQErfqTa5SH5Pdub18ENfktzpzJSPyoEoC_bdLXK43mJKLj7jX7lCAxj7_m5LvECXLugoGDJCI6b01JUOTZYupn1e3DOYXxntp7p1lZo0NLllgw6rfuQRo8fwlM=,,New York City
District 17,Jonathan Saul,"Jonathan Saul, Special Education Attorney",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFE2-0KVR0XFWxI4um_TzbIDO8wYPviXqIZXYsn0oAKNkhgQ-J5Ig24SPyD5fttymoJr0Augein4eQTMzUwPY1Q9tq2UUv0cl9y69N0huIGb5lSQtYNIQ==,,NYC
District 18,Adriane Gavronsky,"Law Office of Adriane Gavronsky, PC",Unavailable,Unavailable,New York City
District 18,Skyer Law,Skyer Law,Unavailable,Unavailable,New York City
District 18,Susan Luger,Susan Luger Associates,Unavailable,Unavailable,New York City
District 18,Susan Deedy,Law Offices of Susan J. Deedy & Associates,Unavailable,Unavailable,New York City
District 18,Andrew K. Cuddy,"Cuddy Law Firm, P.L.L.C.",Unavailable,Unavailable,White Plains
District 19,Gina DeCrescenzo,Gina DeCrescenzo PC,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQERxWYJYg8bLb6IYPirRUfOuOEs945UVt6wiYklTWDJFHpmNsJwbEUeKhwVztb1YvYbOA5sdrCPM2zw5LxCCI6IAuXOZQSaGJtMu_8YxVY2GieuIg1jhDMekoo=,,New York City
District 19,Adam Dayan,Law Offices of Adam Dayan,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG2clLc6yTU9XUomM5lSBIewhAANTYh4RYtSvKGZL5Vc2x5Unf0O1qx49fcbtnhDQ8FeeavTngvU2g-jAjX3QcjcsrWanK0NcshBXLaDV2qRwJJtty9fu4s,,New York
District 19,Susan Deedy,Law Offices of Susan Deedy,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHj8Eo-Dg0kPRE6vrb5NexnLnDd7CUVhgPN3CSPBq_80aaF991UVzcagZHtSMzpUAc7ooQMbbmCk6GyX1LshuTX1hqV1-w5yk_hLTeCpbgPYP6GxSjLrv760Q==,(516) 221-8133,New York City
District 19,,Skyer Law,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGwUJgLyEiD7MMWjTFRa_sysNdBWH4tChXfd-_joC73Ng_ncy-dfZMnR012oGetOSQrcf5b5VIP_aTtatywSB7tbZQXwlF8UWPiZ5zJ2vdM5j-Y7tQ=,,NYC
District 19,,"Kule-Korgood & Associates, P.C.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE3deozdjP_0IDYno4kXtMlkmNVbqGIpfJBO81lDwlZvEuHLVM8byEtf9D1Iv4_GA7Sxnq--fukjBi62LJsJvILPYcUD9sCibKAJQYCiQKaBqAFihgLZOee0KklwHrt_-KS,(718) 261-0181,Forest Hills
District 2,Various (Team of Attorneys),Skyer Law,https://skyerlaw.com/,,NYC
District 2,Neal H. Rosenberg,Law Offices of Neal H. Rosenberg,,212-732-9450,Manhattan
District 2,Irina Roller,Law Offices of Irina Roller PLLC,,,
District 2,Andrew K. Cuddy,Cuddy Law Firm,,,White Plains
District 2,Kule-Korgood,"Kule-Korgood & Associates, P.C.",,(718) 261-0181,Forest Hills
District 20,Various (firm),Skyer Law,https://skyerlaw.com/,,NYC
District 20,Various (associates),Susan Luger & Associates,https://www.specialeducationadvocates.com/,,NYC
District 20,Various (attorneys),Littman Krooks,https://www.littmankrooks.com/,,NYC
District 20,Andrew K. Cuddy,Cuddy Law Firm,https://cuddylawfirm.com/,,NYC
District 20,Gina DeCrescenzo,Gina DeCrescenzo PC,https://www.ginadecrecenzo.com/,,NYC
District 21,Susan Luger,Susan Luger Associates,No website provided in the search results.,No phone number provided in the search results.,NYC
District 21,Adam Dayan,Law Offices of Adam Dayan,No website provided in the search results.,No phone number provided in the search results.,NYC
District 21,Irina Roller,Law Offices of Irina Roller PLLC,No website provided in the search results.,No phone number provided in the search results.,NYC
District 22,Susan Luger,Susan Luger Associates,,,New York
District 22,Andrew K. Cuddy,Cuddy Law Firm,,,New York
District 22,Susan Deedy,Law Offices of Susan J. Deedy,,(516) 221-8133,New York
District 22,,Skyer Law,,,New York
District 22,,Gottlieb & Wang LLP,,,New York
District 23,Skyer Law,Skyer Law,https://www.skyerlaw.com/,,NYC
District 23,Andrew K. Cuddy,Cuddy Law Firm,https://www.cuddylawfirm.com/,,New York
District 23,Susan Luger,Susan Luger Associates,https://susanluger.com/,,NYC
District 23,Bernard A. Krooks,Littman Krooks,https://www.littmankrooks.com/,(212) 490-2020,New York City
District 23,Jennifer Ratcliff,"Ratcliff Law, PLLC",https://www.ratclifflaw.com/,,New York
District 24,Skyer Law,Skyer Law,https://skyerlaw.com/,,NYC
District 24,Susan Luger,Susan Luger Associates,,,NYC
District 24,Kule-Korgood,"Kule-Korgood & Associates, P.C.",,(718) 261-0181,Forest Hills
District 24,Andrew K. Cuddy,Cuddy Law Firm,,,New York
District 24,Neal H. Rosenberg,Law Offices of Neal H. Rosenberg,,212-732-9450,Manhattan
District 25,Regina Skyer,Skyer Law,https://skyerlaw.com/,,NYC
District 25,Andrew K. Cuddy,Cuddy Law Firm,https://www.cuddylawfirm.com/,,New York
District 25,Bernard A. Krooks,Littman Krooks,,212-490-2020,New York City
District 25,Lloyd Donders,The Law Offices of Lloyd Donders,,,New York City
District 25,Susan Deedy,The Law Offices of Susan Deedy,,(516) 221-8133,NYC
District 26,Andrew K. Cuddy,Cuddy Law Firm,https://www.cuddylawfirm.com/,,White Plains
District 26,Susan Luger,Susan Luger Associates,,,NYC
District 26,,Skyer Law,https://skyerlaw.com/,,NYC
District 26,Jennifer Ratcliff,"Ratcliff Law, PLLC",,,New York
District 26,Adriane Gavronsky,Law Office of Adriane Gavronsky,,,New York City
District 27,Various (Skyer Law),Skyer Law,https://www.skyerlaw.com/,,NYC
District 27,Various (Littman Krooks),Littman Krooks,https://www.littmankrooks.com/,(212) 490-2020,NYC
District 27,Andrew K. Cuddy,Cuddy Law Firm,https://www.cuddylawfirm.com/,,New York
District 27,Joseph Fein,Susan Luger Associates,https://www.susanluger.com/,,NYC
District 27,Various (Gottlieb & Wang LLP),Gottlieb & Wang LLP,https://gottliebandwang.com/,,Manhattan & Brooklyn
District 28,Various (Team of Attorneys),Skyer Law,https://skyerlaw.com/,,New York City
District 28,Various (Team of Attorneys),Cuddy Law Firm,https://www.cuddylawfirm.com/,,New York
District 28,Susan Luger Associates,Susan Luger Associates,https://www.specialeducationadvocates.com/,,New York City
District 28,Adam Dayan,Law Offices of Adam Dayan,https://www.dayanlaw.com/,,New York
District 28,Susan Deedy,Law Offices of Susan Deedy,,(516) 221-8133,New York City
District 29,Susan J. Deedy,Law Offices of Susan J. Deedy,,516-221-8133,New York City
District 29,Andrew K. Cuddy,Cuddy Law Firm,,,White Plains
District 29,,Skyer Law,,,NYC
District 29,,"Law Offices of Gerry McMahon, LLC",,,Queens
District 29,,"Law Office of Keith Altman, PLLC",,,Queens
District 3,Regina Skyer,Skyer Law,https://skyerlaw.com/,,NYC
District 3,Susan Luger,Susan Luger Associates,,,NYC
District 3,,"Kule-Korgood & Associates, P.C.",https://www.kulekorgood.com/,718-261-0181,Forest Hills
District 3,Susan Deedy,Law Offices of Susan J. Deedy,,516-221-8133,NYC
District 3,Andrew K. Cuddy,Cuddy Law Firm,,,New York
District 30,Adam Dayan,Law Offices of Adam Dayan,,,New York
District 30,Andrew K. Cuddy,Cuddy Law Firm,,,White Plains
District 30,Gina DeCrescenzo,"Gina DeCrescenzo, P.C.",,,New York City
District 30,Adriane Gavronsky,Law Office of Adriane Gavronsky,,,New York City
District 31,Gerry McMahon,"The Law Offices of Gerry McMahon, LLC",unavailable,unavailable,Staten Island
District 31,Lloyd Donders,The Law Offices of Lloyd Donders,unavailable,unavailable,Staten Island
District 31,Susan J. Deedy,The Law Offices of Susan J. Deedy,unavailable,(516) 221-8133,unavailable
District 32,Various (Firm),Skyer Law,https://skyerlaw.com/,,NYC
District 32,Various (Associates),Susan Luger Associates,,,NYC
District 32,Various (Attorneys),Littman Krooks,,,New York City
District 32,Andrew K. Cuddy,Cuddy Law Firm,,,New York
District 32,Various (Partners),Gottlieb & Wang LLP,,,New York City
District 4,Adam Dayan,Law Offices of Adam Dayan,https://www.adamdayanlaw.com/,,New York
District 4,Susan Deedy,Law Offices of Susan J. Deedy & Associates,https://www.susandeedy.com/,516-221-8133,New York City
District 4,Neal H. Rosenberg,Law Offices of Neal H. Rosenberg,https://nealrosenberg.com/,212-732-9450,New York
District 4,Steven Alizio,"The Law Office of Steven Alizio, PLLC",https://aliziolaw.com/,347.395.4656,New York
District 4,Lloyd Donders,The Law Offices of Lloyd Donders,,,New York City
District 5,Various Attorneys,Skyer Law,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEK_IvuY6Dr9lGyfNtt4jlv3mboe5uh7wMUtorIc8-D6_hZiT_pQPFuInuj-UausWb8hp_HLF5VNDpiXS-jUQriPm9bKwHWqUg48oZsN0YgSKLmT08=,,NYC
District 5,Bernard A. Krooks,Littman Krooks,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGcB4qDZyPUhYKp8_x9-V1sSLxpPAKk1kyBrsnWqSF4xWyLZ25q4xsXGSW4MMJqK-CumCDLI_31ic7invo1f3zqj1zP2S3OrQjyr0u-v6DOlsy4ic31KIQ95lNhzEIGi-1kwywOr0MX83b9jo_dwYi2KK0C_tmaVqZeDMQik-N0i-pMrHeTf_NORqL3EJdd2jrFepOYsYsy,212-490-2020,New York City
District 5,Susan J. Deedy,Law Offices of Susan J. Deedy & Associates,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG8noyZeOVOfCTjwFalbzezXyAe9RYAyeTMYGJW9F12YseDRQnMvw0A1vuwLdYIgnKhgD45-c2CinpMm44uajmwhe5QOctarztsmzyamVDo9fd2DdQ9vfXWuw==,,NYC
District 5,Gina M. DeCrescenzo,"Gina DeCrescenzo, P.C.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE4rF_hKw6CUwNcNvmMzeZxkvgWy4xZaMnQrHur4hqrQys1Ayyf5PjyM8wkyhZZuRUvjATYQrVcfGr2MmCx7TLkqSyThELk2wOdthpQrI9F5CjSMnwLyAaAyuk=,,New York
District 6,Various Attorneys,Skyer Law,https://skyerlaw.com/,,New York City
District 6,Various Attorneys,Susan Luger & Associates,,,New York City
District 6,Susan J. Deedy,Law Offices of Susan J. Deedy,,(516) 221-8133,New York City
District 6,Andrew K. Cuddy,Cuddy Law Firm,,,New York
District 6,Various Attorneys,"Guercio & Guercio, LLP",,,New York City
District 7,Susan Deedy,Law Offices of Susan Deedy,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQESCg81HT8I8cV5hypsp3AZkUYiL-QU2ka47ZsoiG657mxybfN1M0JrYS3GLiLdH4mllY5gnCu5kyRbYf18rQCbpgXoUOpmdpIw9lrMpHnfH5OK8ul2jte-iQ==,(516) 221-8133,NYC
District 7,Various,Skyer Law,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH1jEX298iNSj5zYdvzhKp06tb093LoHEM52hrnxTbh8MaHSA9A-wTvaVxilG04Si-V55dZXKk05Au1WhrEYFFLQ9fWqGLNihfJl06G8mxWLE8bqYw=,Unknown,NYC
District 7,Andrew K. Cuddy,Cuddy Law Firm,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFpVaabkSWkS4Xx3K5PxqmGsCtZUMYij-H6xK9NEZqrz9wIGoEh-ye9vQZp8IJl8PJ-t2vIYFxzPtCghM_T90dUW9TbI6Bl1wJ91qNrctyyTCQk-GY=,Unknown,New York
District 7,Joseph Fein,Susan Luger Associates,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMnl-S7p1YRzWQ9WxTr0PtdZe2nx7JRtPT2lfenqGti-YqwT6oIkNChuVNfyrmWobvr9lDY5TR1I7mw25v8-Vz8H5Y8QP-4u6h24ElVY0lOhSe7zlanzqA,Unknown,NYC
District 7,Various,"Kule-Korgood & Associates, P.C.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGhGjQahwophMr5CeC4UP194OW-sZ9Qbi3kSSi7JXe0UjyuR1aDZbJsLRSgK78Gp53RABxXE7kz2kEAWbqINydrF5rJ0gp4CIVFUMPikw1bKUb1sqJnq6kM9Kd6bubgL6mB,(718) 261-0181,"Forest Hills, NY"
District 75,Bernard A. Krooks,Littman Krooks,https://www.littmankrooks.com/,212-490-2020,New York City
District 75,Skyer Law,Skyer Law,https://skyerlaw.com/,,NYC
District 75,Susan Luger,Susan Luger Associates,https://www.susanluger.com/,,New York
District 75,Jennifer Ratcliff,"Ratcliff Law, PLLC",https://ratclifflaw.com/,,New York
District 75,,"Kule-Korgood & Associates, P.C.",http://www.kkspecialedlaw.com,718-261-0181,Forest Hills
District 79,Various (firm),Skyer Law,https://skyerlaw.com/,,NYC
District 79,Various (firm),Susan Luger Associates,,,NYC
District 79,Susan Deedy,Law Offices of Susan Deedy,,,New York City
District 79,Various (firm),Littman Krooks,,212-490-2020,New York City
District 79,Various (firm),"Kule-Korgood & Associates, P.C.",,718-261-0181,Forest Hills
District 8,Felicia Lebewohl Rosen,Not specified in source,Not specified in source,Not specified in source,Bronx
District 8,Angel A. Castro,A. A. Castro C.L.A.N. PLLC,Not specified in source,Not specified in source,Manhattan & Syracuse
District 8,Joseph Maya,Not specified in source,View Website,(212) 682-5700,New York
District 8,Susan J. Deedy,Law Offices of Susan J. Deedy,Not specified in source,(516) 221-8133,NYC
District 8,Andrew K. Cuddy,Cuddy Law Firm,Not specified in source,Call Us!,White Plains
District 9,Keith Altman,"The Law Office of Keith Altman, PLLC",unavailable,unavailable,Bronx
District 9,Gerry McMahon,"The Law Offices of Gerry McMahon, LLC",unavailable,unavailable,Bronx
District 9,"Attorneys at Guercio & Guercio, LLP","Guercio & Guercio, LLP",unavailable,unavailable,"Bronx, Brooklyn, Manhattan, Queens and Staten Island"
District 9,Lloyd Donders,The Law Offices of Lloyd Donders,unavailable,unavailable,New York City
Freeport UFSD,Saundra M. Gumerove,Saundra M. Gumerove & Associates,unavailable,unavailable,Freeport
Freeport UFSD,Samuel L. Drukman,"Samuel L. Drukman, Esq.",unavailable,unavailable,Freeport
Freeport UFSD,Keith Altman,"The Law Office of Keith Altman, PLLC",unavailable,unavailable,Freeport
Hempstead UFSD,Gerry McMahon,"The Law Offices of Gerry McMahon, LLC",unavailable,unavailable,Hempstead
Hempstead UFSD,Keith Altman,"The Law Office of Keith Altman, PLLC",unavailable,unavailable,Hempstead
Hempstead UFSD,Angel A. Castro,A. A. Castro C.L.A.N. PLLC,unavailable,unavailable,Hempstead
Hempstead UFSD,Andrew M. Cohen,Law Office of Andrew M. Cohen PC,unavailable,516-877-0595,Long Island
Hempstead UFSD,Larry McCord,"Larry McCord & Associates, LLC",unavailable,unavailable,Valley Stream
Hempstead UFSD,Susan J. Deedy,The Law Offices of Susan J. Deedy & Associates,unavailable,516-221-8133,unavailable
Mount Vernon City SD,Susan Deedy,Law Offices of Susan J. Deedy & Associates,,,Westchester
Mount Vernon City SD,Marna Solarsh,Marna Solarsh Esq,,,Westchester
Mount Vernon City SD,Gina DeCrescenzo,Gina DeCrescenzo PC,,,Westchester
Mount Vernon City SD,Andrew K. Cuddy,Cuddy Law Firm,,,White Plains
Mount Vernon City SD,Peter D. Hoffman,"Law Office of Peter D. Hoffman, P.C.",,,South Salem
New Rochelle City SD,Marna Solarsh,Marna Solarsh Esq,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHuxFm2jMFpu3QEsT-wYD4zXZmQKec_aGLUikWez7luP93X0mBuyr6PsUNLml8PtLi8hSVsTZk0fYwEorZl_yfOkQVrAvlV9lG0lwHhXivPX5w7h-5NmmRN8H5TPW_saTLgOjP9HcXM2OcwmXoc,,Westchester
New Rochelle City SD,Susan Deedy,Law Offices of Susan J. Deedy & Associates,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFcZ3EbrpRZQGWWIV8rPX4YpVPCfl-W_md7MuSHfV407NYKXwVNK7_Ky9Z9iyPmGmxrpaHufWq-48GP3c-V73RG3QvJb5bCBiTeWCNbudo_uKaNFL-Ps2mHYg==,516-221-8133,"NYC, Nassau, Suffolk and Westchester counties"
New Rochelle City SD,,Tully Rinckey PLLC,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG9FZ6q_YnFNX6tKnYvSq5z4cN7uHWSsoaPXi17T6suDkstYy72H20ULhsFS7XyWrNWTjeS8wQun9Z8mX-gRg5M2kmZK38DHfRAn3NrB3-1KyXCrZqLnvYXgiiYuWtGDK2xFPt_Fyyk0n-8SM4UkgB9yA==,888-529-4543,White Plains
New Rochelle City SD,Gina DeCrescenzo,Gina DeCrescenzo PC,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG230vIPKQ6BwGDuAepNscIZR_VYgqDdWxcKfkx3lg-fJh7fdzUt9R5_L-E1yffxTwsPP_kyYxLLK8yT3qLEcBa09tJjRQvfc1uzG651qjPjSMtv4fGIuLX0MU=,,"NYS, including Westchester, Putnam, Dutchess, Orange, Rockland, Long Island, and the New York City Department of Education"
New Rochelle City SD,,Littman Krooks LLP,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGtCZEo-AQ7M0oYsDZlS19kcchmcTbB2q5X-lz2AwGDmcSGerUyWDxyq3Mnkp94Z9EoJdYGJlzJ3acHVQrbHl7ZywM8Jq3Wa_TjBpMGbtcer9I2hEbeNkDMNPCErrNwFY8Lt9JlraD8Lf68OJIjfxQCGY2KnA==,,New York City and Rye Brook
Newburgh Enlarged City SD,"Samuel L. Drukman, Esq.","Samuel L. Drukman, Esq. Attorney At Law",,,Newburgh
Newburgh Enlarged City SD,"Ashley Salte, Esq.",Ranni Law Firm,,,
Newburgh Enlarged City SD,Andrew K. Cuddy,Cuddy Law Firm,www.cuddylawfirm.com,914-984-2740,Valhalla
Newburgh Enlarged City SD,"John W. Callanan, Esq.",John W. Callanan Law Office,www.jwcallananlaw.com,845-744-5934,Pine Bush
Newburgh Enlarged City SD,"Gina M. DeCrescenzo, Esq.","Gina DeCrescenzo, P.C.",,,
Niagara Falls City SD,Sarah A. Frederick,Frederick Law Offices PLLC,,716-575-9586,Orchard Park
Niagara Falls City SD,Lloyd Donders,The Law Offices of Lloyd Donders,,,Niagara Falls
Poughkeepsie City SD,Andrea Leah Gellen,Gellen Law PLLC,,(845) 204-8673,Poughkeepsie
Poughkeepsie City SD,Laura Wong-Pan,,,(845) 218-1288,Poughkeepsie
Poughkeepsie City SD,Danielle Fenichel,,,(845) 867-2840,Poughkeepsie
Rochester City SD,Tully Rinckey PLLC,Tully Rinckey PLLC,https://www.tullylegal.com/,,Rochester
Rochester City SD,Anne M. McGinnis,"Bond, Schoeneck & King PLLC",https://www.bsk.com/,,Rochester
Rochester City SD,LLF National Law Firm,Lento Law Firm,https://lentolawfirm.com/,888-535-3686,Rochester
Rochester City SD,Cara M. Briggs,The Law Office of Cara M. Briggs,,(585) 708-7500,Rochester
Rochester City SD,Education Law Unit,"The Legal Aid Society of Rochester, New York",,,Rochester
Schenectady City SD,James Kleinbaum,"James Kleinbaum, Attorney at Law",,,Schenectady
Schenectady City SD,"Pattison, Sampson, Ginsberg & Griffin, PLLC","Pattison, Sampson, Ginsberg & Griffin, PLLC",,518-266-1000,"Albany, Troy, Saratoga"
Schenectady City SD,Martin Kehoe,,,518-452-,Schenectady
Schenectady City SD,Tara Anne Pleat,,,,Schenectady
Schenectady City SD,Honeywell Law Firm,Honeywell Law Firm PLLC,honeywelllawfirm.com,518-512-4580,
Syracuse City SD,"Paul J. Tortora, Jr.","Paul J. Tortora, Jr., Esq.",,,Syracuse
Syracuse City SD,Lloyd Donders,The Law Offices of Lloyd Donders,,,Syracuse
Syracuse City SD,,Tully Rinckey PLLC,https://www.tullylegal.com,888-529-4543,Syracuse
Utica City SD,Martin Kehoe,Unknown,Unknown,Unknown,Utica
Utica City SD,Lloyd Donders,The Law Offices of Lloyd Donders,Unknown,Unknown,Utica
Utica City SD,Keith Altman,"The Law Office of Keith Altman, PLLC",Unknown,Unknown,Utica
